variant,n_features,selected_features,cv_auc,test_auc,best_params,auc_drop_vs_full
Full screened model,7,"return_frequency, customer_return_rate, avg_basket_size, avg_order_value, total_items, total_margin, avg_item_margin",0.9792,0.9798,"{'max_depth': 10, 'min_samples_leaf': 10, 'n_estimators': 200}",-0.0
Top-5 operational subset,5,"total_margin, avg_order_value, return_frequency, avg_item_margin, customer_return_rate",0.9793,0.9794,"{'max_depth': 10, 'min_samples_leaf': 10, 'n_estimators': 200}",0.0004
Top-3 operational subset,3,"total_margin, avg_order_value, return_frequency",0.9721,0.9719,"{'max_depth': 10, 'min_samples_leaf': 5, 'n_estimators': 200}",0.0079
