variant,steps_removed,n_features,selected_features,cv_auc,test_auc,best_params,auc_drop_vs_full
Full pipeline,None,7,"return_frequency, customer_return_rate, avg_basket_size, avg_order_value, total_items, total_margin, avg_item_margin",0.9792,0.9798,"{'max_depth': 10, 'min_samples_leaf': 10, 'n_estimators': 200}",-0.0
No correlation gate,Correlation,10,"order_frequency, return_frequency, customer_return_rate, avg_basket_size, avg_order_value, total_items, total_sales, total_margin, avg_item_price, avg_item_margin",0.9786,0.9793,"{'max_depth': 10, 'min_samples_leaf': 10, 'n_estimators': 200}",0.0005
No univariate gate,Univariate,9,"return_frequency, customer_return_rate, avg_basket_size, avg_order_value, customer_tenure_days, purchase_recency_days, total_items, total_margin, avg_item_margin",0.9793,0.9794,"{'max_depth': 10, 'min_samples_leaf': 5, 'n_estimators': 200}",0.0004
No screening,"Correlation, Univariate",12,"order_frequency, return_frequency, customer_return_rate, avg_basket_size, avg_order_value, customer_tenure_days, purchase_recency_days, total_items, total_sales, total_margin, avg_item_price, avg_item_margin",0.9787,0.9795,"{'max_depth': 10, 'min_samples_leaf': 5, 'n_estimators': 200}",0.0003
