,order_frequency,return_frequency,customer_return_rate,avg_basket_size,avg_order_value,customer_tenure_days,purchase_recency_days,total_items,total_sales,total_margin,avg_item_price,avg_item_margin
count,13616.0,13616.0,13616.0,13616.0,13616.0,13616.0,13616.0,13616.0,13616.0,13616.0,12254.0,13616.0
mean,5.458137485311398,2.7892185663924796,0.21722477775574786,2.213880538454273,356.58661740324084,154.4853848413631,272.6930082256169,9.826674500587544,1752.0633291715628,601.6353896886017,188.18680905285157,91.4605861843971
std,40.39130864499782,27.611899079712448,0.352855235282514,3.7053895235766507,1227.1660189441652,219.19462189783064,204.39982507026312,85.80138863945774,15273.960327332179,4796.854798751067,712.4996226776567,281.3992381648506
min,1.0,0.0,0.0,1.0,-455.08,0.0,0.0,1.0,-455.08,-8030.88,0.0,-2676.96
25%,1.0,0.0,0.0,1.0,25.52125,0.0,84.0,1.0,38.4975,22.48,16.24,10.976607142857143
50%,1.0,0.0,0.0,1.0,81.44500000000001,0.0,225.0,2.0,162.19,77.5285,40.85466666666667,26.003500000000003
75%,3.0,1.0,0.3333333333333333,2.0,245.96,351.0,455.0,6.0,751.8824999999999,311.89825,117.95921249999999,70.824
max,4135.0,2743.0,1.0,112.19298245614036,36325.090000000004,694.0,694.0,9091.0,1467949.65,472534.194,31803.84,7900.0
