feature,f_statistic,p_value,eta_squared,importance_score,significant
total_sales,13988.065358750488,0.0,0.5385396997177453,13988.065358750488,True
total_margin,13033.795312916993,0.0,0.5209393262377352,13033.795312916993,True
order_frequency,11549.100416319285,0.0,0.490718127903588,11549.100416319285,True
customer_return_rate,7488.410051752298,0.0,0.3845256432339267,7488.410051752298,True
avg_order_value,2731.7388740842935,0.0,0.18560859772383165,2731.7388740842935,True
avg_basket_size,1410.9352420769553,5.037856134761613e-292,0.10531776235251541,1410.9352420769553,True
purchase_recency_days,621.8549374101817,7.37162645950837e-134,0.049322818234924966,621.8549374101817,True
customer_tenure_days,4.044769514520665,0.04433077494929367,0.0003373439876392057,4.044769514520665,True
