cluster_id,avg_order_value_mean,avg_order_value_median,avg_order_value_std,avg_basket_size_mean,avg_basket_size_median,avg_basket_size_std,order_frequency_mean,order_frequency_median,order_frequency_std,customer_return_rate_mean,customer_return_rate_median,customer_return_rate_std,customer_tenure_days_mean,customer_tenure_days_median,customer_tenure_days_std,purchase_recency_days_mean,purchase_recency_days_median,purchase_recency_days_std,total_sales_mean,total_sales_median,total_sales_std,total_margin_mean,total_margin_median,total_margin_std,total_profit_erosion_mean,total_profit_erosion_median,total_profit_erosion_std
0,127.56,104.58,91.86,1.72,1.5,0.7,2.96,3.0,0.99,0.41,0.33,0.25,1234.13,1224.0,760.89,323.02,191.0,367.4,323.08,284.92,161.95,168.52,147.62,88.64,96.68,68.48,82.53
1,61.97,49.95,45.17,1.28,1.0,0.55,1.43,1.0,0.57,0.82,1.0,0.25,1263.16,1264.0,760.97,548.98,381.0,530.69,83.14,72.49,54.17,42.56,36.71,28.47,51.69,40.89,31.94
