,return_frequency,avg_basket_size,purchase_recency_days,order_frequency,avg_order_value,customer_tenure_days,customer_return_rate,age
count,13616.0,13616.0,13616.0,13616.0,13616.0,13616.0,13616.0,13616.0
mean,2.7892185663924796,2.213880538454273,272.6930082256169,5.458137485311398,356.58661740324084,154.4853848413631,0.21722477775574786,0.0
std,27.611899079712448,3.7053895235766507,204.39982507026312,40.39130864499782,1227.1660189441652,219.19462189783064,0.352855235282514,0.0
min,0.0,1.0,0.0,1.0,-455.08,0.0,0.0,0.0
25%,0.0,1.0,84.0,1.0,25.52125,0.0,0.0,0.0
50%,0.0,1.0,225.0,1.0,81.44500000000001,0.0,0.0,0.0
75%,1.0,2.0,455.0,3.0,245.96,351.0,0.3333333333333333,0.0
max,2743.0,112.19298245614036,694.0,4135.0,36325.090000000004,694.0,1.0,0.0
